review_id,product_id,title,author,rating,content,timestamp,profile_id,is_verified,helpful_count,product_attributes
R1TNTONRLTPEWR,B09FM6PDHP,5.0 out of 5 stars Raycons better up their game if they wanna compete.,Dawson,5,Before I bought these I had raycons. Raycon earbuds are absolute trash. The feel was cheap and they broke after dropping them. The sound was eh but absolute trash. I had to use the warranty to get a new pair and same issue. I had to eventually buy a new pair and I decided I wouldn't ever buy raycons again and since these were on sale for $60 I decided to give them a shot. I knew JBL was a great speaker and headphones brand so I wanted to give them a try. Omg they are the best earbuds I've ever had. They're so easy to connect to ur phone and you can change the sound profile from the app. The sound cancellation is like nothing I've ever had even better somehow than my gaming headphones I think. The bass is unreal!!! The sound clarity and everything is incredible. Best earbuds I've ever had. They are durable too. They feel like good quality and the case is perfect. It feels good it snaps shut and has a good satisfying feel and sound when it does. It fits perfectly in my pocket and the charge life is so fricken long I can go a week without charging it and it still has life. I've had these for about a month and only charged them maybe twice. I'm so happy with the way these are id highly suggest buying these. Especially over raycon earbuds. I'm so happy I helped people not waste their money on that crappy brand. Someone I talked to even canceled their order to buy a pair of these and thanked me because these were on sale for way cheaper. But even at base price for only a few dollars more why not buy quality? If you want the best earbuds I'd say on the market ....buy these. It's cheap for the experience and quality your getting.,"Reviewed in the United States May 16, 2024",AGI3WTFII3HB6JI2GL5PM7J7F7DQ,1,54,Color: BlackStyle: Headphones
R11OSJ184YK5L8,B09FM6PDHP,5.0 out of 5 stars Amazing sound quality,Amazon Customer,5,"This review is representative of my first impressions after receiving the item.Fit - 4/5: While I've had better fitting earbuds in the past, I would say that these aren't problematic at all, but not perfect either. The buds fit fairly snugly in my ears, and its quite nice that they've included a few tips. They don't seem to move around if I shake my head, so I have decent confidence that if I take them to the gym or on a run, I wouldn't have problems. That said, they don't quite fit perfectly, but everyones ear is a bit different so others might find it better or worse.Sound - 5/5: All I can say is wow do I love the sound that these produce. The level of bass is far beyond anything that I've had from my other earbuds (Jabra Elite 65t and Jlabs JBuds Air). The app includes equalizer settings that actually make quite a lot of difference (unlike other headphone apps I have used) and I am blown away by how much bass can come from these headphones. I have also noticed with other wireless buds that they tend to be on the quiet side, not reaching the same volume that my larger Sony headphones can, but that is not at all the case here. These get LOUD. As someone who plans to mainly use these for workouts, this is exactly what I hoped for.Battery - 5/5: So far I have not had a chance to use these until they die, so I have to disclaim that. However, if the battery matches up or comes close to their claims, which I expect they will given it is a reputable brand, then I will be impressed. My other buds max out at around 8 hours, so getting almost 4x the total battery life is excellent. 8 hours without recharging is very impressive.Look and feel - 3/5: The case looks nice and I think the aesthetics are fine. But the buds themselves are polished smooth, which makes them a bit tricky to handle with your fingertips. Once they're in, its no problem. But a matte finish or some texture would have been better for usability.I'll update this review if I find any reason to, but I am extremely impressed by the headphones, especially for the price point. Highly recommend!","Reviewed in the United States July 19, 2024",AHDFGIHZLAWNS6GVEJFT6HO4JONQ,1,18,Color: BlackStyle: Headphones
R2ND8UB3QKR4XD,B09FM6PDHP,4.0 out of 5 stars JBL for the win.,Amber,4,"Affordable, and great all arounder. Noise cancelling is great, they fit in my ears well which I usually have trouble with. The quick start guide helped a ton figuring out all the controls, which is a must for me as I find I have a lot trouble figuring these types of things out. I think there is even an app that you can change the commands which is pretty cool! So they get an A plus for adjustability in that regard.I love the color, I chose navy but there many to choose from. I havent used them much for phone calls yet, but they pick up the wind a lot so Ive chosen not to use them for most of my phone calls when Ive had them in.","Reviewed in the United States July 29, 2024",AHKSTPYCQ256XNBIJJNN5IKNF43A,1,1,Color: BlueStyle: Headphones
R1ATLW9X08QUD0,B09FM6PDHP,"5.0 out of 5 stars Great sound, comfortable in the ears",Rusty Squeezebox,5,"Took a chance and bought these on prime day, pleasantly surprised with the quality compared to the jlab buds I've been using for years. Again very happy with the quality but more importantly for me is the battery life, these are very comparable with the higher end jlab buds that will last me the entire work day and have enough juice in the case so that I'm not having to charge them multiple times a week. These are amazing in both categories. And lastly you can listen to each bud independently which is a must for people like me that usually only wear one. So In the off chance one dies you just pop in the other one and your good to go for another 8 hours.","Reviewed in the United States July 25, 2024",AGYXE4BIFF7ICA2CNQ27K5VYPBCQ,1,0,Color: BlackStyle: Headphones
R1PDE5V244R06D,B09FM6PDHP,"5.0 out of 5 stars At 50% or more off, these are great.",Dru Ha,5,"I have one pair for work and one for home/going out. I wouldnt have spent $100 on each pair but at $50 per pair theyre a good deal.The ANC is pretty impressive for little earbuds. Makes the background sounds in an IHOP at 9:30 on a Sunday nearly disappear. They also eliminate the sound of snoring dogs and humans.Took a recent trip on an airplane and opted to bring these instead of my Sennheiser Momentum 3s. Im an audiophile on a budget. They cant compete with the over-ear Momentum for sound reproduction. But for earbuds theyre a great product at the sale price.There is a JBL app you can download to your smartphone but the controls are reasonably intuitive. I have big fingers so I probably miss the sweet-spot for function control more than the average person. Ive found the bass to be a little lacking but I think thats due to the EQ setting Ive selected. You do have some EQ presets to choose between in the app.They come with three sets of the rubber earplugs for various sizes of ear-canals. Medium worked for me. I can use them to sleep, travel, shut out the loud noises in restaurants, and for Zoom calls.Consider the color you want to stand out against your bedding when they fall out if falling asleep with them in.I like them enough that I bought a second, dedicated pair for work.The ANC has three settings but so far I havent found one that totally mutes audio output from your device in the ambient-aware or talk through modes. Thats a feature I like on my Momentum. It can be accomplished by the extra step of just pausing playback with a tap on the right, then tap the left to toggle through the three ANC modes.They work great with an iPhone as well as Windows 10/11 computers.Much greater clarity the the JLAB go, which dont seem to have any functional ANC. I should have spent the extra money at the get-go.Buy them when on sale. Theyll probably be fine for you.If ANC and a variety of EQ options are the most important features for you, spring for the current $300 - $400 Sony over-ears. I have a pair of those in the house-too. Their ANC is better but for the music I listen to the Sennheisers are #1. However I would recommend the Sonys for over-ear for the average listener and these for travel, etc. its a lot harder to lose a big set of cans than earbuds so I dont want to invest too much in these little guys.JBL has always served me pretty well for the price in the pro-audio and live sound amplification area so I had some confidence in the name when I bought these.","Reviewed in the United States November 11, 2023",AFUR62MXQUALQJX5LDFW3KOQBQLA,1,99,Color: BlueStyle: Headphones
R2U2NHW73XC78Y,B09FM6PDHP,3.0 out of 5 stars Right earbud stopped working&,Zoe,3,"I bought these JBL earbuds in March (its July now) as a cheap replacement for my lost AirPods and I absolutely fell in love with them. These things really get me through the day with their ambient sound control, great sound quality and omg talk about battery life! This being said&.About a month ago my right earbud started having connectivity issues with my Bluetooth (while my left earbud functions normally) and now has completely lost the ability to gain charge. So Ive basically been down to one earbud which doesnt allow any of the ambient sound controls and is honestly kind of annoying!I really never write reviews for anything, but Im genuinely devastated because I loved these JBL earbuds so much and I really needed these to last me longer than 5 months. I hate leaving a bad review, but I dont want anyone to potentially face this issue!","Reviewed in the United States July 29, 2024",AG66FPQD36HMNUGRE2UY45HZS4QQ,1,4,Color: BlackStyle: Headphones
R3U67WG7KC37BZ,B09FM6PDHP,"5.0 out of 5 stars Wow, these are good sounding earbuds",Mike,5,"There are review sites around that test headphones and earbuds and as far accuracy in frequency response and imaging, these earbuds outrank most other brand's more expensive earbuds.I have the JBL Tune 600BTNC headphones which are a great over the ear headphones and these earbuds sound just as good and even a bit clearer. That's hard to do. Both, these 230NC and the 600BTNC have bass between 20Hz and 100Hz elevated by 3db to 5db, the 230NC being a bit more accurate. That's Ok because I like my bass a few decibels higher.These earbuds have really good punch as well as ultra low bass down to 20HZ. Comparing these 230NC to your subwoofer is a great way to see how good or weak your subwoofer is. Since these 230NC earbuds are accurate from 20Hz to 60Hz within 1db or +4db above 100Hz, most subwoofers can't provide the bass these earbuds can.The clarity in the midrange and treble is great, and without elevation to make music sound bright and fatiguing.I have tried the JBL Club Pro Plus and Tune 125TWS and neither would seal correctly or be comfortable to wear more than 10 minutes. Mainly because of the big club at the end of the actual ear piece. Those earbuds don't fit good in every ear because they are big. The 230NC doesn't have club at the end of the earpiece but a small thin stalk like most ""wired"" earbuds that fit everyone good. These 230NC with their long thin stalks fit my ears good and seal good, plus they are actually more comfortable than my 600BTNC headphones. The Club Pro Plus actually hurt my ears and left them in pain for an hour after only wearing them for 10 minutes.These 230NC earbuds sound great, seal good, and are comfortable enough to wear for hours. I don't see doing any better than some $300 earbuds or headphone for sound quality.The one thing they fall down in and so do my 600BTNC is that they use the lower class active noise cancelling instead of the adaptive noise canceling. Honestly they sound great even in a noisy plant with the active noise cancelling.For the price slashing Amazon does to the retail price, they are a bargain IMO.The only thing I wish they had was function to test if they are sealed correctly like the Club Pro Plus had in it's app. That way you know you are getting the maximum bass response that these earbuds can produce. I simply test using music with ultra low bass that I'm very familiar with.","Reviewed in the United States February 7, 2023",AF7UFK3GWNSBHUXMPCXJM5LZIKJA,1,38,Color: BlackStyle: Headphones
R21G2QA3DWXAWV,B09FM6PDHP,4.0 out of 5 stars A satisfactory pair of earbuds with a decent attempt at noise cancellation,Tonigiri,4,"In this review, I will compare the jbl 230 nc wireless earbuds with some of the best wireless earbuds of 2023, based on four criteria: noise cancellation, sound quality, battery life, and design.Noise cancellation: The jbl 230 nc wireless earbuds have active noise cancellation, which works well in most situations, but may not be effective in very loud environments. The Sony WF-1000XM5 wireless earbuds are the best in this category, with outstanding noise-canceling performance that adapts to your surroundings and personal preferences. The Bose QuietComfort Earbuds 2 are also excellent, with adjustable noise cancellation levels and a transparency mode. The Apple AirPods Pro 2 is another good option, with effective noise cancellation and spatial audio support.Sound quality: The jbl 230 nc wireless earbuds deliver a decent sound quality, with a balanced and clear output. However, they may not satisfy audiophiles who prefer a more detailed and dynamic sound. The Technics EAH-AZ80 wireless earbuds are the best in this category in my opinion, with a superb sound quality that rivals some of the best over-ear headphones. They have a rich and balanced sound signature, with deep bass, clear mids, and crisp highs. They also support high-resolution audio codecs and have a dedicated app for EQ customization. The Sony WF-1000XM5 wireless earbuds are also great, with a dynamic and engaging sound that can be tweaked via the Sony Headphones Connect app. The Bose QuietComfort Earbuds 2 are also impressive, with a top-notch sound quality that is well-balanced and natural. Keep in mind that the jbl 230 nc sits in a very different price point than the earbuds above so it's still punching way above its weight in this regard.Battery life: The jbl 230 nc wireless earbuds have a battery life of about four hours, which is average for wireless earbuds. They come with a charging case that can provide an additional 12 hours of playback. The Sony WF-1000XM5 wireless earbuds are the best in this category, with a battery life of up to eight hours with noise cancellation on, and up to 24 hours with the charging case. They also have a quick charge feature that can give you an hour of listening time with just 10 minutes of charging. The Apple AirPods Pro 2 are also good, with a battery life of up to six hours with noise cancellation on, and up to 30 hours with the charging case. They also support wireless charging and have a fast charge feature that can give you an hour of listening time with just five minutes of charging.Design: The jbl 230 nc wireless earbuds have a simple and sleek design, with a matte black finish and a jbl logo on each earbud. They are lightweight and comfortable to wear, with three sizes of silicone ear tips to choose from. They are also water-resistant, which means they can withstand sweat and rain. The Apple AirPods Pro 2 is the best in this category, with a sleek and ergonomic design that fits snugly in your ears. They have an open design without tips, which means they don't block out the outside sound completely. They also have force sensors on each stem that let you control music playback, calls, noise cancellation, and voice assistants. The Beats Fit Pro wireless earbuds are also stylish and comfortable, with a winged design that keeps them secure in your ears. They have an IPX4 rating for water resistance and have touch controls on each earbud.Conclusion: The jbl 230 nc wireless earbuds are a decent pair of headphones for casual listeners who want to escape the noise of the world. However, they are not the best in any category, and they face stiff competition from other models that offer better performance and features. If you want the best noise cancellation, sound quality, battery life, or design, you may want to consider other options such as the Sony WF-1000XM5, the Technics EAH-AZ80, the Bose QuietComfort Earbuds 2, or the Apple AirPods Pro 2. At this price point however, which is often lower (I bought mine on sale for 50% off), the jbl 230 nc is a no-brainer and will give you a value you can't say no to.","Reviewed in the United States August 15, 2023",AEFYG6AEEKPWIUMDM2IYUSDK2FLA,1,140,Color: WhiteStyle: Headphones
R1PQYT04HC2P7L,B09FM6PDHP,"4.0 out of 5 stars Had high hopes, jury is still out.",Shonna,4,"I bought these to replace my skullcandy sesh Evo. I had the skillcandy for over a year & recently I lost the left bud & then the right ear bud decided it was gonna be finicky about charging. Like the sensor wasn't connecting properly anymore. It was getting super frustrating because I only had 1 ear bud left & when I wanted to use it it would either be dead or only give me a few minutes. After watching many reviews on YouTube & reading them here I decided I'd get these JBL ones as they had good reviews & *bonus* they were on sale for $49.00. I am on day 3 of using them. Around my house I normally only wear 1 ear bud so I can still keep an ear on my kids. I used the right ear bud all day yesterday, sticking it back in the case when not in use. Last night I went to use the left ear bud & it didn't automatically connect when I took it out like the right one. When I had both out it connected so I put the right back in the case. When I woke up this morning I went to use the left one & the app said it only had 20% battery even though it was in the charger all night. In messing with them I realized even in the case the left was still connected & playing. I finally got it to connect to the charger & work properly. But I feel like it shouldn't be this difficult. It's not rocket science placing the ear buds in the case. I am using these for music, podcasts, & watching shows. The sound is great. I haven't made calls with them. They fit comfortably in my ear, I like the black sleek color. I am just hoping I don't continue to have charging or connection issues as I will use these EVERY SINGLE DAY all throughout the day.","Reviewed in the United States July 18, 2024",AEB4PHJN3LWFAU3TMAW2QU6XRTIQ,1,3,Color: BlackStyle: Headphones
RRN57FT3PCI3I,B09FM6PDHP,5.0 out of 5 stars Better noise canceling than JLAB,Courtney,5,"These headphones are what I've been looking for in a pair of headphones for SO LONG! I love them they connect instantly, the durability only time will tell. The comfort, they are extremely comfortable =.Volume control I'll group the rating of the different ""be aware"" controls here the ambient be aware is like your traditional be aware you can listen to music while also hearing your surroundings a little but but the voice be aware setting turns your music down and allows you to listen while also hearing most everything around you with good clarity. The noise canceling I'll tell you how good it is: I ride public transportation a d our roads in the city is not good so it makes the bus rattle when it goes over the bumps and it canceled that loud noise out to about 20-30% of the original sound. I got the black headphones. And the weight they are very light :). All around I love these headphones and I will be keeping them for a VERY long time.If you are on the fence on if you should get these headphones: get them, you will not regret it","Reviewed in the United States July 26, 2024",AGB2C3AMQI2LHYKLHU7CKCEITZ6A,1,0,Color: BlackStyle: Headphones
